시설명,카테고리1,카테고리2,카테고리3,시도 명칭,시군구 명칭,법정읍면동명칭,리 명칭,번지,도로명 이름,건물 번호,위도,경도,우편번호,도로명주소,지번주소,전화번호,평일 운영시간,주말 운영시간,무료주차 가능여부,발렛주차 가능여부,유아의자 대여여부,휠체어 보유여부,애완동물 동반입장 가능여부,채식메뉴 보유여부,할랄음식 여부,글루텐프리 음식여부,최종작성일
0731양꼬치,음식점/유흥시설,동아시아음식,인도,경기도,안산시 단원구,원곡동,,764-9 번지,관산길,3 번,37.331773,126.796648,15374,경기도 안산시 단원구 관산길 3,경기도 안산시 단원구 원곡동  764-9,정보없음,정보없음,정보없음,무료주차 가능,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
08001BARCELONA,음식점/유흥시설,동남아시아음식,기타,충청남도,공주시,중동,,147-279 번지,제민천3길,78 번,36.455338,127.123165,32547,충청남도 공주시 제민천3길 78,충청남도 공주시 중동  147-279,0507-1478-3666,"화-목 17시-23시,금 17시-24시",토 17시-24시,무료주차 가능,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
10.5INCH,음식점/유흥시설,유럽음식,이탈리아,경기도,수원시 팔달구,남창동,,113-5 번지,행궁로,43 번,37.278747,127.015355,16261,경기도 수원시 팔달구 행궁로 43,경기도 수원시 팔달구 남창동  113-5,정보없음,정보없음,정보없음,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
1000란무까타,음식점/유흥시설,동남아시아음식,기타,경기도,평택시,평택동,,291-9 번지,중앙2로,17 번,36.991785,127.088968,17909,경기도 평택시 중앙2로 17,경기도 평택시 평택동  291-9,정보없음,정보없음,정보없음,무료주차 가능,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
100하노이쌀국수,음식점/유흥시설,동남아시아음식,베트남,서울특별시,중구,순화동,,217 번지,서소문로9길,28 번,37.563415,126.970594,4516,서울특별시 중구 서소문로9길 28,서울특별시 중구 순화동  217,02-318-4246,월-금 10시-20시,토-일 10시-20시,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
1010아프리카유나이티드레스토랑,음식점/유흥시설,아프리카음식,아프리카,서울특별시,용산구,이태원동,,118-34 번지,이태원로,166 번,37.534206,126.992405,4391,서울특별시 용산구 이태원로 166,서울특별시 용산구 이태원동 118-34,070-8955-4851,월-금 0시-24시,토-일 0시-24시,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
1011다이닝키친,음식점/유흥시설,유럽음식,이탈리아,광주광역시,남구,봉선동,,1011-20 번지,봉선1로36번길,1 번,35.127536,126.90933,61695,광주광역시 남구 봉선1로36번길 1,광주광역시 남구 봉선동  1011-20,0507-1327-1015,월-금 12시-22시,토 12시-14시30분,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
11어클락,음식점/유흥시설,유럽음식,이탈리아,경상남도,창원시 성산구,남양동,,27-7 번지,가양로116번길,14 번,35.207975,128.705967,51481,경상남도 창원시 성산구 가양로116번길 14,경상남도 창원시 성산구 남양동  27-7,055-262-7188,월-금 11시-21시,토-일 11시-21시,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
123포,음식점/유흥시설,동남아시아음식,베트남,경기도,파주시,문발동,,644 번지,문발로,284 번,37.71809,126.692539,10881,경기도 파주시 문발로 284,경기도 파주시 문발동  644,정보없음,정보없음,정보없음,무료주차 가능,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
126,음식점/유흥시설,동남아시아음식,기타,서울특별시,광진구,구의동,,671 번지,광나루로39길,11 번,37.545494,127.088778,4977,서울특별시 광진구 광나루로39길 11,서울특별시 광진구 구의동  671,0507-1307-4825,화-금 11시-22시,"토 11시-22시,일 11시-15시",무료주차 가능,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
128PAN,음식점/유흥시설,유럽음식,이탈리아,서울특별시,종로구,동숭동,,12-8 번지,동숭4길,14 번,37.583319,127.004397,3085,서울특별시 종로구 동숭4길 14,서울특별시 종로구 동숭동  12-8,정보없음,월-금 12시-22시,토-일 12시-22시,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
12키친,음식점/유흥시설,유럽음식,이탈리아,대구광역시,수성구,상동,,408-3 번지,무학로11길,10 번,35.830107,128.615133,42168,대구광역시 수성구 무학로11길 10,대구광역시 수성구 상동  408-3,053-652-8007,월-금 11시30분-22시,토-일 11시30분-22시,무료주차 가능,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
13애비뉴,음식점/유흥시설,유럽음식,이탈리아,경기도,성남시 수정구,심곡동,,327-2 번지,심곡로,13 번,37.449276,127.103649,13103,경기도 성남시 수정구 심곡로 13,경기도 성남시 수정구 심곡동  327-2,031-718-0013,월-금 11시30분-22시,토-일 11시30분-22시,무료주차 가능,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
